"","substanceBXH","geneSymbol","LocusLinkID","moduleColor","GS.rasgo","p.GS.rasgo","MM.turquoise","p.MM.turquoise","MM.blue","p.MM.blue","MM.grey","p.MM.grey","MM.yellow","p.MM.yellow","MM.green","p.MM.green","MM.magenta","p.MM.magenta","MM.pink","p.MM.pink","MM.red","p.MM.red","MM.black","p.MM.black","MM.brown","p.MM.brown"
"MMT00044517","MMT00044517","D730040F13Rik",242474,"grey",-0.0755650473432865,0.385517400044861,-0.0957864853855553,0.270916520519183,-0.288136587671888,0.00073529700488046,0.547626043690308,7.51413638643901e-12,0.339374015967887,6.03464164236188e-05,0.188594521593504,0.0290867407534763,0.199405256235532,0.0208933685885182,-0.0110002586991809,0.899614744263405,-0.144553518394856,0.0956306878415789,-0.0500658361399516,0.565639797833837,0.4824046041778,3.58497494334301e-09
"MMT00052967","MMT00052967","Psmb9",16912,"grey",0.0754334729886248,0.386347643347823,-0.270800872564509,0.00155228125825971,-0.0802501574160746,0.356660383704019,0.220359787065096,0.0105130438735665,0.248994805739267,0.00371787957948142,0.159914435276135,0.0649361821475043,0.0236179751606524,0.786487749684758,-0.00900400951524475,0.917760946364588,0.00146384294736787,0.986606970387023,-0.0271652306173644,0.755366024949626,0.396632893289249,2.09095221272521e-06
"MMT00032043","MMT00032043","Ptpn18",19253,"grey",0.0753354424289987,0.386966923838157,-0.358469157144103,2.10996118870064e-05,0.130029228297534,0.134273464163755,-0.261332854548406,0.00228848913434708,0.177833341647628,0.0398115146380898,-0.2143563361,0.0128793747537564,-0.434378346200814,1.57220418242559e-07,-0.18400652804313,0.0333137320287767,0.0404169729104781,0.642886624008755,-0.173013086365682,0.0455964191162536,-0.0721237490119208,0.407585445852889
"MMT00070057","MMT00070057","Ahcy",269378,"grey",0.0753157429974849,0.387091441650537,0.263924526961211,0.00206063792193781,-0.0948509070525803,0.275646209317645,0.160693369859116,0.0636239469696659,-0.403335115144289,1.35110418180773e-06,0.173852932707534,0.0445408839043634,0.35650800854776,2.35782118415707e-05,0.115849129238732,0.182538468063526,-0.0258651282041741,0.766729857869409,0.0203242481020408,0.815691446075019,0.126832663319799,0.144195650606552
"MMT00033614","MMT00033614","Dixdc1",330938,"grey",0.0752730182925327,0.387361582540723,-0.0439840136270373,0.61382152146925,0.0582584547952653,0.503724841669191,-0.0187927542598225,0.829359724396085,0.0114184916013156,0.895819191080587,0.170728638626172,0.0485734323662597,0.0377670705569823,0.664837340286232,0.0327755562774729,0.706953303169311,-0.0419008216827186,0.630726785070325,0.245157699468867,0.00430339541465663,-0.0135645542733452,0.876382106604611
"MMT00007367","MMT00007367",NA,384988,"grey",0.0752719164943271,0.387368550522186,-0.276968682602024,0.00119643518661263,-0.0552199296028662,0.526268732811724,0.387886465601638,3.64494284345317e-06,0.051755106557136,0.552582967142049,0.31618255534438,0.000197860588415054,0.105544449009979,0.224857624744603,0.203149950612617,0.0185624717131807,0.122204135644168,0.159534142054644,-0.190660150473265,0.0273380308947862,0.569721777286355,6.76735266779544e-13
"MMT00038501","MMT00038501","Rchy1",68098,"grey",-0.0751872748740609,0.387904066051398,0.0301546209576168,0.729437870298556,0.24476588271871,0.00436760682022769,-0.070525854935304,0.418080285828982,-0.00935562446476021,0.914561369053128,0.335748223783885,7.31170115561398e-05,0.27423953168471,0.00134352592126637,0.0103265798059492,0.905733263362841,-0.0273582233710714,0.753683514835653,0.764876397731152,5.54196898060176e-27,-0.266208160920646,0.00187713672490823
"MMT00073193","MMT00073193","Pafah1b1",18472,"grey",0.0750949334492086,0.388488805560807,-0.509838239504196,3.13631198745088e-10,-0.0446392939825351,0.608544998279763,0.428874286935962,2.33903456716493e-07,0.195941601894505,0.0232695843131094,0.2693967370374,0.00164570596964389,0.311101456026081,0.000253455754206337,-0.0173643078353558,0.842154601893446,-0.0768617920225726,0.377392624559998,-0.106832871838505,0.219216784673368,0.663519099513196,2.41085046259568e-18
"MMT00024332","MMT00024332","D030015G18Rik",230793,"grey",0.0750320095123816,0.388887566672339,-0.0549963074623876,0.52794776716927,0.423466636398029,3.43235036096416e-07,-0.542525550591222,1.27791878785032e-11,-0.066743772668206,0.443538496053839,-0.305079025468831,0.000337985979400941,-0.311124821688828,0.000253169858745059,-0.0381123383863156,0.661960620922969,-0.0129405150885823,0.882027018427296,0.258744656625245,0.00253856915010627,-0.49838644304636,8.90214636297895e-10
"MMT00045825","MMT00045825",NA,NA,"grey",0.0748913694708481,0.389779719756945,-0.0610630748794301,0.483372695155862,0.496487741609918,1.05440976712645e-09,-0.640431721382618,7.91813202338106e-17,-0.0866119332138077,0.31969542362742,-0.190439295471852,0.0275206152799586,-0.166763049905763,0.0541237908441809,-0.00692555409914521,0.936699390193857,-0.0406058571518464,0.641333403362269,0.529555538660425,4.74045942760367e-11,-0.668272593297489,1.13016131962583e-18
"MMT00053222","MMT00053222","AW555464",217882,"grey",0.0747487923406098,0.390685415636775,-0.0614958493058448,0.480271985941436,0.202295674091995,0.0190734219660713,-0.541185327666536,1.46710794454008e-11,-0.0876006609594487,0.314181310663911,-0.400387303014372,1.63913228732808e-06,-0.467767599876348,1.2077369978676e-08,0.114248271642431,0.188699026184991,0.0338773069465379,0.697575195177477,-0.180601131767144,0.0367774059849454,-0.457953163358726,2.6427127318107e-08
